grid,position,points,year,name_circuits,driverRef,dob,name_constructors,status,regulamento,fastestLapTime,fastestLapSpeed,q1,q2,q3
3,2,18.0,2008,Circuit de Barcelona-Catalunya,massa,1981-04-25,Ferrari,Finished,2005-2008,81801.0,204.863,80701.0,80784.0,81813.0
5,3,15.0,2008,Circuit de Barcelona-Catalunya,hamilton,1985-01-07,McLaren,Finished,2005-2008,82017.0,204.323,80701.0,80784.0,81813.0
4,4,12.0,2008,Circuit de Barcelona-Catalunya,kubica,1984-12-07,BMW Sauber,Finished,2005-2008,82106.0,204.102,80701.0,80784.0,81813.0
7,5,10.0,2008,Circuit de Barcelona-Catalunya,webber,1976-08-27,Red Bull,Finished,2005-2008,82564.0,202.969,80701.0,80784.0,81813.0
13,6,8.0,2008,Circuit de Barcelona-Catalunya,button,1980-01-19,Honda,Finished,2005-2008,82353.0,203.489,80701.0,80784.0,81813.0
12,7,6.0,2008,Circuit de Barcelona-Catalunya,nakajima,1985-01-11,Williams,Finished,2005-2008,83549.0,200.576,80701.0,80784.0,81813.0
8,8,4.0,2008,Circuit de Barcelona-Catalunya,trulli,1974-07-13,Toyota,Finished,2005-2008,82758.0,202.494,80701.0,80784.0,81813.0
9,9,2.0,2008,Circuit de Barcelona-Catalunya,heidfeld,1977-05-10,BMW Sauber,Finished,2005-2008,82519.0,203.080,80701.0,80784.0,81813.0
19,10,1.0,2008,Circuit de Barcelona-Catalunya,fisichella,1973-01-14,Force India,+1 Lap,2005-2008,83439.0,200.841,80701.0,80784.0,81813.0
14,11,0.0,2008,Circuit de Barcelona-Catalunya,glock,1982-03-18,Toyota,+1 Lap,2005-2008,83007.0,201.886,80701.0,80784.0,81813.0
17,12,0.0,2008,Circuit de Barcelona-Catalunya,coulthard,1971-03-27,Red Bull,+1 Lap,2005-2008,82842.0,202.288,80701.0,80784.0,81813.0
22,13,0.0,2008,Circuit de Barcelona-Catalunya,sato,1977-01-28,Super Aguri,+1 Lap,2005-2008,84617.0,198.045,80701.0,80784.0,81813.0
15,-1,0.0,2008,Circuit de Barcelona-Catalunya,rosberg,1985-06-27,Williams,Engine,2005-2008,83319.0,201.130,80701.0,80784.0,81813.0
2,-1,0.0,2008,Circuit de Barcelona-Catalunya,alonso,1981-07-29,Renault,Engine,2005-2008,82683.0,202.677,80701.0,80784.0,81813.0
11,-1,0.0,2008,Circuit de Barcelona-Catalunya,barrichello,1972-05-23,Honda,Collision,2005-2008,83858.0,199.837,80701.0,80784.0,81813.0
6,-1,0.0,2008,Circuit de Barcelona-Catalunya,kovalainen,1981-10-19,McLaren,Accident,2005-2008,82453.0,203.243,80701.0,80784.0,81813.0
21,-1,0.0,2008,Circuit de Barcelona-Catalunya,davidson,1979-04-18,Super Aguri,Radiator,2005-2008,86864.0,192.922,80701.0,80784.0,81813.0
16,-1,0.0,2008,Circuit de Barcelona-Catalunya,bourdais,1979-02-28,Toro Rosso,Collision,2005-2008,85999.0,194.862,80701.0,80784.0,81813.0
10,-1,0.0,2008,Circuit de Barcelona-Catalunya,piquet_jr,1985-07-25,Renault,Collision,2005-2008,85444.0,196.128,80701.0,80784.0,81813.0
20,-1,0.0,2008,Circuit de Barcelona-Catalunya,sutil,1983-01-11,Force India,Collision,2005-2008,0.0,0.0,80701.0,80784.0,81813.0
18,-1,0.0,2008,Circuit de Barcelona-Catalunya,vettel,1987-07-03,Toro Rosso,Collision,2005-2008,0.0,0.0,80701.0,80784.0,81813.0
1,1,25.0,2008,Istanbul Park,massa,1981-04-25,Ferrari,Finished,2005-2008,86666.0,221.734,85994.0,86192.0,87617.0
3,2,18.0,2008,Istanbul Park,hamilton,1985-01-07,McLaren,Finished,2005-2008,86529.0,222.085,85994.0,86192.0,87617.0
4,3,15.0,2008,Istanbul Park,raikkonen,1979-10-17,Ferrari,Finished,2005-2008,86506.0,222.144,85994.0,86192.0,87617.0
5,4,12.0,2008,Istanbul Park,kubica,1984-12-07,BMW Sauber,Finished,2005-2008,86780.0,221.442,85994.0,86192.0,87617.0
9,5,10.0,2008,Istanbul Park,heidfeld,1977-05-10,BMW Sauber,Finished,2005-2008,87219.0,220.328,85994.0,86192.0,87617.0
7,6,8.0,2008,Istanbul Park,alonso,1981-07-29,Renault,Finished,2005-2008,87280.0,220.174,85994.0,86192.0,87617.0
6,7,6.0,2008,Istanbul Park,webber,1976-08-27,Red Bull,Finished,2005-2008,87630.0,219.294,85994.0,86192.0,87617.0
11,8,4.0,2008,Istanbul Park,rosberg,1985-06-27,Williams,Finished,2005-2008,87795.0,218.882,85994.0,86192.0,87617.0
10,9,2.0,2008,Istanbul Park,coulthard,1971-03-27,Red Bull,Finished,2005-2008,87966.0,218.457,85994.0,86192.0,87617.0
8,10,1.0,2008,Istanbul Park,trulli,1974-07-13,Toyota,Finished,2005-2008,87926.0,218.556,85994.0,86192.0,87617.0
13,11,0.0,2008,Istanbul Park,button,1980-01-19,Honda,+1 Lap,2005-2008,87998.0,218.377,85994.0,86192.0,87617.0
2,12,0.0,2008,Istanbul Park,kovalainen,1981-10-19,McLaren,+1 Lap,2005-2008,87640.0,219.269,85994.0,86192.0,87617.0
15,13,0.0,2008,Istanbul Park,glock,1982-03-18,Toyota,+1 Lap,2005-2008,88303.0,217.623,85994.0,86192.0,87617.0
12,14,0.0,2008,Istanbul Park,barrichello,1972-05-23,Honda,+1 Lap,2005-2008,88017.0,218.330,85994.0,86192.0,87617.0
17,15,0.0,2008,Istanbul Park,piquet_jr,1985-07-25,Renault,+1 Lap,2005-2008,87867.0,218.703,85994.0,86192.0,87617.0
19,16,0.0,2008,Istanbul Park,sutil,1983-01-11,Force India,+1 Lap,2005-2008,88780.0,216.454,85994.0,86192.0,87617.0
14,17,0.0,2008,Istanbul Park,vettel,1987-07-03,Toro Rosso,+1 Lap,2005-2008,88180.0,217.926,85994.0,86192.0,87617.0
18,-1,0.0,2008,Istanbul Park,bourdais,1979-02-28,Toro Rosso,Suspension,2005-2008,88745.0,216.539,85994.0,86192.0,87617.0
16,-1,0.0,2008,Istanbul Park,nakajima,1985-01-11,Williams,Collision,2005-2008,0.0,0.0,85994.0,86192.0,87617.0
20,-1,0.0,2008,Istanbul Park,fisichella,1973-01-14,Force India,Collision,2005-2008,0.0,0.0,85994.0,86192.0,87617.0
3,1,25.0,2008,Circuit de Monaco,hamilton,1985-01-07,McLaren,Finished,2005-2008,78510.0,153.152,75190.0,75110.0,75787.0
5,2,18.0,2008,Circuit de Monaco,kubica,1984-12-07,BMW Sauber,Finished,2005-2008,77933.0,154.286,75190.0,75110.0,75787.0
1,3,15.0,2008,Circuit de Monaco,massa,1981-04-25,Ferrari,Finished,2005-2008,77886.0,154.379,75190.0,75110.0,75787.0
9,4,12.0,2008,Circuit de Monaco,webber,1976-08-27,Red Bull,Finished,2005-2008,79036.0,152.133,75190.0,75110.0,75787.0
19,5,10.0,2008,Circuit de Monaco,vettel,1987-07-03,Toro Rosso,Finished,2005-2008,78787.0,152.614,75190.0,75110.0,75787.0
14,6,8.0,2008,Circuit de Monaco,barrichello,1972-05-23,Honda,Finished,2005-2008,79574.0,151.104,75190.0,75110.0,75787.0
13,7,6.0,2008,Circuit de Monaco,nakajima,1985-01-11,Williams,Finished,2005-2008,79910.0,150.469,75190.0,75110.0,75787.0
4,8,4.0,2008,Circuit de Monaco,kovalainen,1981-10-19,McLaren,Finished,2005-2008,77282.0,155.586,75190.0,75110.0,75787.0
2,9,2.0,2008,Circuit de Monaco,raikkonen,1979-10-17,Ferrari,Finished,2005-2008,76689.0,156.789,75190.0,75110.0,75787.0
7,10,1.0,2008,Circuit de Monaco,alonso,1981-07-29,Renault,+1 Lap,2005-2008,77869.0,154.413,75190.0,75110.0,75787.0
11,11,0.0,2008,Circuit de Monaco,button,1980-01-19,Honda,+1 Lap,2005-2008,79582.0,151.089,75190.0,75110.0,75787.0
10,12,0.0,2008,Circuit de Monaco,glock,1982-03-18,Toyota,+1 Lap,2005-2008,79618.0,151.021,75190.0,75110.0,75787.0
8,13,0.0,2008,Circuit de Monaco,trulli,1974-07-13,Toyota,+1 Lap,2005-2008,79830.0,150.620,75190.0,75110.0,75787.0
12,14,0.0,2008,Circuit de Monaco,heidfeld,1977-05-10,BMW Sauber,+4 Laps,2005-2008,80251.0,149.829,75190.0,75110.0,75787.0
18,-1,0.0,2008,Circuit de Monaco,sutil,1983-01-11,Force India,Collision,2005-2008,82039.0,146.564,75190.0,75110.0,75787.0
6,-1,0.0,2008,Circuit de Monaco,rosberg,1985-06-27,Williams,Accident,2005-2008,81270.0,147.951,75190.0,75110.0,75787.0
17,-1,0.0,2008,Circuit de Monaco,piquet_jr,1985-07-25,Renault,Accident,2005-2008,91187.0,131.860,75190.0,75110.0,75787.0
20,-1,0.0,2008,Circuit de Monaco,fisichella,1973-01-14,Force India,Gearbox,2005-2008,92849.0,129.500,75190.0,75110.0,75787.0
15,-1,0.0,2008,Circuit de Monaco,coulthard,1971-03-27,Red Bull,Accident,2005-2008,102112.0,117.753,75190.0,75110.0,75787.0
16,-1,0.0,2008,Circuit de Monaco,bourdais,1979-02-28,Toro Rosso,Collision,2005-2008,101150.0,118.872,75190.0,75110.0,75787.0
2,1,25.0,2008,Circuit Gilles Villeneuve,kubica,1984-12-07,BMW Sauber,Finished,2005-2008,77539.0,202.473,76909.0,77034.0,77886.0
8,2,18.0,2008,Circuit Gilles Villeneuve,heidfeld,1977-05-10,BMW Sauber,Finished,2005-2008,77430.0,202.758,76909.0,77034.0,77886.0
13,3,15.0,2008,Circuit Gilles Villeneuve,coulthard,1971-03-27,Red Bull,Finished,2005-2008,78085.0,201.057,76909.0,77034.0,77886.0
11,4,12.0,2008,Circuit Gilles Villeneuve,glock,1982-03-18,Toyota,Finished,2005-2008,79087.0,198.510,76909.0,77034.0,77886.0
6,5,10.0,2008,Circuit Gilles Villeneuve,massa,1981-04-25,Ferrari,Finished,2005-2008,78006.0,201.261,76909.0,77034.0,77886.0
14,6,8.0,2008,Circuit Gilles Villeneuve,trulli,1974-07-13,Toyota,Finished,2005-2008,78870.0,199.056,76909.0,77034.0,77886.0
9,7,6.0,2008,Circuit Gilles Villeneuve,barrichello,1972-05-23,Honda,Finished,2005-2008,78301.0,200.503,76909.0,77034.0,77886.0
19,8,4.0,2008,Circuit Gilles Villeneuve,vettel,1987-07-03,Toro Rosso,Finished,2005-2008,78532.0,199.913,76909.0,77034.0,77886.0
7,9,2.0,2008,Circuit Gilles Villeneuve,kovalainen,1981-10-19,McLaren,Finished,2005-2008,78462.0,200.091,76909.0,77034.0,77886.0
5,10,1.0,2008,Circuit Gilles Villeneuve,rosberg,1985-06-27,Williams,Finished,2005-2008,77977.0,201.336,76909.0,77034.0,77886.0
20,11,0.0,2008,Circuit Gilles Villeneuve,button,1980-01-19,Honda,Finished,2005-2008,79352.0,197.847,76909.0,77034.0,77886.0
10,12,0.0,2008,Circuit Gilles Villeneuve,webber,1976-08-27,Red Bull,Finished,2005-2008,78201.0,200.759,76909.0,77034.0,77886.0
18,13,0.0,2008,Circuit Gilles Villeneuve,bourdais,1979-02-28,Toro Rosso,+1 Lap,2005-2008,78620.0,199.689,76909.0,77034.0,77886.0
17,-1,0.0,2008,Circuit Gilles Villeneuve,fisichella,1973-01-14,Force India,Spun off,2005-2008,79066.0,198.563,76909.0,77034.0,77886.0
12,-1,0.0,2008,Circuit Gilles Villeneuve,nakajima,1985-01-11,Williams,Accident,2005-2008,78784.0,199.273,76909.0,77034.0,77886.0
4,-1,0.0,2008,Circuit Gilles Villeneuve,alonso,1981-07-29,Renault,Spun off,2005-2008,78225.0,200.697,76909.0,77034.0,77886.0
15,-1,0.0,2008,Circuit Gilles Villeneuve,piquet_jr,1985-07-25,Renault,Brakes,2005-2008,79239.0,198.129,76909.0,77034.0,77886.0
3,-1,0.0,2008,Circuit Gilles Villeneuve,raikkonen,1979-10-17,Ferrari,Collision,2005-2008,77387.0,202.871,76909.0,77034.0,77886.0
1,-1,0.0,2008,Circuit Gilles Villeneuve,hamilton,1985-01-07,McLaren,Collision,2005-2008,77506.0,202.559,76909.0,77034.0,77886.0
16,-1,0.0,2008,Circuit Gilles Villeneuve,sutil,1983-01-11,Force India,Gearbox,2005-2008,80666.0,194.624,76909.0,77034.0,77886.0
2,1,25.0,2008,Circuit de Nevers Magny-Cours,massa,1981-04-25,Ferrari,Finished,2005-2008,76729.0,206.956,75133.0,75161.0,76449.0
1,2,18.0,2008,Circuit de Nevers Magny-Cours,raikkonen,1979-10-17,Ferrari,Finished,2005-2008,76630.0,207.224,75133.0,75161.0,76449.0
4,3,15.0,2008,Circuit de Nevers Magny-Cours,trulli,1974-07-13,Toyota,Finished,2005-2008,77567.0,204.721,75133.0,75161.0,76449.0
10,4,12.0,2008,Circuit de Nevers Magny-Cours,kovalainen,1981-10-19,McLaren,Finished,2005-2008,77134.0,205.870,75133.0,75161.0,76449.0
5,5,10.0,2008,Circuit de Nevers Magny-Cours,kubica,1984-12-07,BMW Sauber,Finished,2005-2008,77172.0,205.768,75133.0,75161.0,76449.0
6,6,8.0,2008,Circuit de Nevers Magny-Cours,webber,1976-08-27,Red Bull,Finished,2005-2008,77507.0,204.879,75133.0,75161.0,76449.0
9,7,6.0,2008,Circuit de Nevers Magny-Cours,piquet_jr,1985-07-25,Renault,Finished,2005-2008,77758.0,204.218,75133.0,75161.0,76449.0
3,8,4.0,2008,Circuit de Nevers Magny-Cours,alonso,1981-07-29,Renault,Finished,2005-2008,77641.0,204.525,75133.0,75161.0,76449.0
7,9,2.0,2008,Circuit de Nevers Magny-Cours,coulthard,1971-03-27,Red Bull,Finished,2005-2008,77818.0,204.060,75133.0,75161.0,76449.0
13,10,1.0,2008,Circuit de Nevers Magny-Cours,hamilton,1985-01-07,McLaren,Finished,2005-2008,77453.0,205.022,75133.0,75161.0,76449.0
8,11,0.0,2008,Circuit de Nevers Magny-Cours,glock,1982-03-18,Toyota,Finished,2005-2008,77836.0,204.013,75133.0,75161.0,76449.0
12,12,0.0,2008,Circuit de Nevers Magny-Cours,vettel,1987-07-03,Toro Rosso,Finished,2005-2008,77760.0,204.212,75133.0,75161.0,76449.0
11,13,0.0,2008,Circuit de Nevers Magny-Cours,heidfeld,1977-05-10,BMW Sauber,Finished,2005-2008,77716.0,204.328,75133.0,75161.0,76449.0
20,14,0.0,2008,Circuit de Nevers Magny-Cours,barrichello,1972-05-23,Honda,+1 Lap,2005-2008,77969.0,203.665,75133.0,75161.0,76449.0
15,15,0.0,2008,Circuit de Nevers Magny-Cours,nakajima,1985-01-11,Williams,+1 Lap,2005-2008,78054.0,203.443,75133.0,75161.0,76449.0
19,16,0.0,2008,Circuit de Nevers Magny-Cours,rosberg,1985-06-27,Williams,+1 Lap,2005-2008,78311.0,202.776,75133.0,75161.0,76449.0
14,17,0.0,2008,Circuit de Nevers Magny-Cours,bourdais,1979-02-28,Toro Rosso,+1 Lap,2005-2008,78216.0,203.022,75133.0,75161.0,76449.0
17,18,0.0,2008,Circuit de Nevers Magny-Cours,fisichella,1973-01-14,Force India,+1 Lap,2005-2008,78557.0,202.141,75133.0,75161.0,76449.0
18,19,0.0,2008,Circuit de Nevers Magny-Cours,sutil,1983-01-11,Force India,+1 Lap,2005-2008,78462.0,202.385,75133.0,75161.0,76449.0
16,-1,0.0,2008,Circuit de Nevers Magny-Cours,button,1980-01-19,Honda,Collision,2005-2008,80876.0,196.345,75133.0,75161.0,76449.0
4,1,25.0,2008,Silverstone Circuit,hamilton,1985-01-07,McLaren,Finished,2005-2008,92817.0,199.398,79957.0,79597.0,81049.0
5,2,18.0,2008,Silverstone Circuit,heidfeld,1977-05-10,BMW Sauber,Finished,2005-2008,92719.0,199.609,79957.0,79597.0,81049.0
16,3,15.0,2008,Silverstone Circuit,barrichello,1972-05-23,Honda,Finished,2005-2008,93386.0,198.183,79957.0,79597.0,81049.0
3,4,12.0,2008,Silverstone Circuit,raikkonen,1979-10-17,Ferrari,+1 Lap,2005-2008,92150.0,200.842,79957.0,79597.0,81049.0
1,5,10.0,2008,Silverstone Circuit,kovalainen,1981-10-19,McLaren,+1 Lap,2005-2008,93130.0,198.728,79957.0,79597.0,81049.0
6,6,8.0,2008,Silverstone Circuit,alonso,1981-07-29,Renault,+1 Lap,2005-2008,93133.0,198.722,79957.0,79597.0,81049.0
14,7,6.0,2008,Silverstone Circuit,trulli,1974-07-13,Toyota,+1 Lap,2005-2008,93808.0,197.292,79957.0,79597.0,81049.0
15,8,4.0,2008,Silverstone Circuit,nakajima,1985-01-11,Williams,+1 Lap,2005-2008,94277.0,196.310,79957.0,79597.0,81049.0
20,9,2.0,2008,Silverstone Circuit,rosberg,1985-06-27,Williams,+1 Lap,2005-2008,94797.0,195.234,79957.0,79597.0,81049.0
2,10,1.0,2008,Silverstone Circuit,webber,1976-08-27,Red Bull,+1 Lap,2005-2008,92952.0,199.109,79957.0,79597.0,81049.0
13,11,0.0,2008,Silverstone Circuit,bourdais,1979-02-28,Toro Rosso,+1 Lap,2005-2008,93367.0,198.224,79957.0,79597.0,81049.0
12,12,0.0,2008,Silverstone Circuit,glock,1982-03-18,Toyota,+1 Lap,2005-2008,94610.0,195.619,79957.0,79597.0,81049.0
9,13,0.0,2008,Silverstone Circuit,massa,1981-04-25,Ferrari,+2 Laps,2005-2008,93257.0,198.458,79957.0,79597.0,81049.0
10,-1,0.0,2008,Silverstone Circuit,kubica,1984-12-07,BMW Sauber,Spun off,2005-2008,93539.0,197.859,79957.0,79597.0,81049.0
